GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,LifetimeExceededException,0,7,0,0,0,4,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,BasicDataSource,608,1277,72,118,146,419,90,139,25,109
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingCallableStatement,604,1011,0,0,244,362,0,123,0,123
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedCallWithResultSetHoldability,0,24,0,0,0,3,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementSQL,0,12,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DriverManagerConnectionFactory,0,62,0,6,0,20,0,8,0,5
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingDriver.PoolGuardConnectionWrapper,11,17,3,1,4,6,3,2,1,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithResultSetConcurrency,0,20,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,BasicDataSourceMXBean,0,2,0,0,0,1,0,1,0,1
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingDataSource,65,95,2,4,19,29,8,10,6,9
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolablePreparedStatement,20,100,5,9,6,34,5,8,0,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithResultSetHoldability,0,24,0,0,0,3,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,AbandonedTrace,0,156,0,14,0,46,0,17,0,10
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,Utils,5,106,4,12,0,31,4,12,0,8
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingDriver,68,127,3,9,17,38,9,13,6,10
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingDataSource.PoolGuardConnectionWrapper,0,42,0,8,0,10,0,9,0,5
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedCallSQL,0,12,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolableConnectionFactory,47,501,11,47,12,153,14,56,4,37
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithAutoGeneratedKeys,0,16,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,BasicDataSourceFactory,136,914,29,113,32,209,25,53,1,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingConnection.StatementType,0,24,0,0,0,5,0,1,0,1
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingStatement,300,570,11,25,126,195,13,71,3,63
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DriverConnectionFactory,0,49,0,0,0,8,0,3,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingResultSet,1021,1268,12,18,396,418,13,205,6,197
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingConnection,510,660,20,54,200,212,42,71,26,50
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,ObjectNameWrapper,32,65,3,9,6,20,3,12,0,9
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingDatabaseMetaData,1159,1012,8,8,530,238,6,184,2,180
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithColumnIndexes,0,15,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,BasicDataSource.PaGetConnection,11,0,0,0,2,0,2,0,2,0
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DataSourceConnectionFactory,0,50,0,4,0,15,0,6,0,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey,381,755,31,81,108,189,32,60,12,24
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,Constants,0,3,0,0,0,1,0,1,0,1
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,DelegatingPreparedStatement,252,558,4,4,70,231,4,61,0,61
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedCallWithResultSetConcurrency,0,20,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,ListException,0,10,0,0,0,4,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolableCallableStatement,20,80,5,7,6,25,5,5,0,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolableConnection,75,211,10,36,23,71,11,23,2,9
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithColumnNames,0,15,0,0,0,2,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,PoolingConnection,200,352,8,12,63,71,9,31,1,29
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2,SwallowedExceptionLogger,0,27,1,3,0,9,1,4,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,PooledConnectionAndInfo,10,32,0,0,3,10,2,5,2,5
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,CPDSConnectionFactory,178,268,16,14,43,88,14,19,1,17
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,PoolKey,0,120,0,22,0,32,0,15,0,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,InstanceKeyDataSourceFactory,299,275,91,43,46,88,63,12,2,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,InstanceKeyDataSource,182,545,14,40,50,200,15,79,4,63
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,SharedPoolDataSourceFactory,9,23,3,1,1,7,2,4,0,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,KeyedCPDSConnectionFactory,136,276,11,15,28,92,11,17,1,14
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,UserPassKey,0,110,0,14,0,32,0,16,0,9
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,SharedPoolDataSource,49,237,4,14,9,62,4,17,1,11
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,PerUserPoolDataSource,103,1348,13,161,19,411,12,147,1,71
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.datasources,PerUserPoolDataSourceFactory,100,71,27,9,15,23,18,4,0,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.cpdsadapter,PooledConnectionImpl,149,526,9,37,55,107,11,51,3,36
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.cpdsadapter,ConnectionImpl,64,144,3,3,31,35,3,14,1,13
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.cpdsadapter,DriverAdapterCPDS,37,651,27,45,8,175,25,52,0,41
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.cpdsadapter,PStmtKeyCPDS,36,0,0,0,12,0,6,0,6,0
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,DataSourceXAConnectionFactory,32,64,1,1,10,19,6,4,5,4
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,LocalXAConnectionFactory.LocalXAResource,19,252,0,28,3,59,0,26,0,12
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,ManagedConnection,32,246,5,39,11,81,5,29,1,11
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,ManagedConnection.CompletionListener,0,15,0,2,0,4,0,3,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,PoolableManagedConnectionFactory,28,96,2,4,7,26,2,3,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,PoolableManagedConnection,0,27,0,0,0,9,0,3,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,TransactionRegistry,9,118,1,7,3,32,1,9,0,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,TransactionContext.new Synchronization() {...},0,22,0,2,0,5,0,4,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,ManagedDataSource,5,44,1,5,1,12,1,5,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,DataSourceXAConnectionFactory.new ConnectionEventListener() {...},10,17,0,0,4,7,1,2,1,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,TransactionContext,28,111,4,8,8,32,4,10,0,8
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,LocalXAConnectionFactory,0,39,0,0,0,11,0,3,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/main/java",org.apache.commons.dbcp2.managed,BasicManagedDataSource,36,213,0,8,4,60,0,15,0,11
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestBasicDataSourceMXBean,0,14,0,0,0,4,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,StackMessageLog,71,49,3,1,20,22,4,7,2,7
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestPStmtPooling,33,420,10,6,3,127,7,9,0,8
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestLifetimeExceededException,0,21,0,0,0,7,0,3,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDelegatingStatement.TesterStatementNonWrapping,0,6,0,0,0,3,0,2,0,2
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDriverManagerConnectionFactory,22,187,1,11,7,49,1,16,0,11
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDelegatingCallableStatement,122,2151,1,1,0,505,1,126,0,126
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDelegatingPreparedStatement,59,1091,1,1,0,254,1,63,0,63
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDriverManagerConnectionFactory.ConnectionThread,28,25,1,1,5,12,2,3,1,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TesterConnRequestCountDriver,0,28,0,0,0,9,0,6,0,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestConnectionPool.PoolTest,13,209,1,7,3,57,2,9,1,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDelegatingStatement,56,904,0,0,2,239,0,57,0,57
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestPoolingDriver,8,520,2,8,1,145,2,14,0,11
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestConnectionPool,212,1592,41,105,27,417,34,74,0,35
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TesterConnectionDelayDriver,3,28,0,0,1,8,0,3,0,3
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TesterDriver,19,164,2,14,6,38,7,12,5,6
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TestDelegatingConnection,51,177,8,2,9,48,5,8,0,8
"commons-dbcp2 (Jan 19, 2019 4:53:57 PM)/commons-dbcp2/src/test/java",org.apache.commons.dbcp2,TesterResultSet,846,192,13,15,319,47,196,17,187,12
