GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreRightFunction,9,77,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,LeftBoundFunction,13,114,10,18,1,20,8,13,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreRightProcedure,11,75,8,12,1,15,7,10,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,LeftBoundPredicate,10,117,7,21,1,20,6,15,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,UnaryProcedureUnaryFunction,11,76,7,13,1,15,6,11,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryProcedureUnaryProcedure,5,70,2,12,1,12,2,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,FunctionUnaryFunction,9,76,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreLeftFunction,9,77,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,FunctionProcedure,9,77,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryFunctionBinaryProcedure,4,77,5,13,0,15,4,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,ProcedureUnaryProcedure,11,74,8,12,1,15,7,10,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreLeftPredicate,9,77,6,14,1,13,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,FunctionPredicate,9,78,6,14,1,13,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryPredicateBinaryFunction,6,78,6,14,0,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,RightBoundPredicate,10,117,7,21,1,20,6,15,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,PredicateFunction,11,75,7,13,1,13,6,11,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreRightPredicate,9,77,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BoundFunction,7,115,2,20,2,18,2,16,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,UnaryFunctionUnaryPredicate,9,79,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryPredicateUnaryPredicate,5,70,2,12,1,11,2,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,UnaryFunctionUnaryProcedure,9,78,6,14,1,15,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,FullyBoundFunction,25,138,15,21,2,23,12,13,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryFunctionBinaryPredicate,9,80,6,14,1,15,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,PredicateUnaryPredicate,9,76,6,14,1,14,5,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,BinaryFunctionUnaryFunction,5,70,2,12,1,11,2,12,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,RightBoundProcedure,10,117,7,21,1,21,6,15,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,ProcedureFunction,11,75,7,13,1,14,6,11,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,RightBoundFunction,13,114,10,18,1,20,8,13,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,IgnoreLeftProcedure,11,75,8,12,1,14,7,10,0,7
"commons-functor (Jan 19, 2019 5:07:31 PM)/commons-functor/src/main/java",org.apache.commons.functor.adapter,UnaryPredicateUnaryFunction,11,76,7,13,1,14,6,11,0,7
