Nº,Project,TestClassName
1,Achilles-achilles-6.0.0,TestEntityWithIndicesForJSON
2,Achilles-achilles-6.0.0,TestJSONCall
3,Achilles-achilles-6.0.0,TestDynamicKeyspaceWithUDTJSON
4,Achilles-achilles-6.0.0,TestFunctionCallsSimpleEntity
5,Achilles-achilles-6.0.0,OverridingOptionalFinalTest
6,Achilles-achilles-6.0.0,TypeNameHelperTest
7,Achilles-achilles-6.0.0,AnnotationTreeTest
8,Achilles-achilles-6.0.0,FunctionParserTest
9,Achilles-achilles-6.0.0,FieldInfoParserTest
10,Achilles-achilles-6.0.0,TypeValidatorTest
11,Achilles-achilles-6.0.0,TestTypes
12,Achilles-achilles-6.0.0,BeanValidatorTest
13,Achilles-achilles-6.0.0,BeanValidator3_0Test
14,Achilles-achilles-6.0.0,CodecFactoryTest
15,Achilles-achilles-6.0.0,EntityParserTest
16,Achilles-achilles-6.0.0,FieldParserTest
17,Achilles-achilles-6.0.0,MyCodec
18,Achilles-achilles-6.0.0,EntityMetaCodeGenTest
19,Achilles-achilles-6.0.0,UDTMetaCodeGenTest
20,Achilles-achilles-6.0.0,IndexSelectDSLCodeGenTest
21,Achilles-achilles-6.0.0,SelectDSLCodeGenTest
22,Achilles-achilles-6.0.0,ManagerCodeGenTest
23,Achilles-achilles-6.0.0,SnakeCaseNamingTest
24,Achilles-achilles-6.0.0,LowerCaseNamingTest
25,Achilles-achilles-6.0.0,CaseSensitiveNamingTest
26,Achilles-achilles-6.0.0,FrozenNestedTypeStrategyTest
27,Achilles-achilles-6.0.0,TypedMapTest
28,Achilles-achilles-6.0.0,ScriptExecutorTest
29,Achilles-achilles-6.0.0,TestEntityWithSASIIndices
30,Achilles-achilles-6.0.0,TestMultiClusteringEntityIT
31,Achilles-achilles-6.0.0,TestViewSensorByType
32,Achilles-achilles-6.0.0,TestFunctionCallsWithLiteralValuesIT
33,Achilles-achilles-6.0.0,TestEntityWithClusteringIT
34,Achilles-achilles-6.0.0,TestEntityWithNonFrozenUDTIT
35,Achilles-achilles-6.0.0,TestSchemaGenerator
36,Achilles-achilles-6.0.0,TestEntityWithDurationTypeIT
37,Achilles-achilles-6.0.0,TestEntityForGroupByIT
38,Achilles-achilles-6.0.0,CassandraEmbeddedServerBuilderTest
39,Achilles-achilles-6.0.0,TestEntityWithDSESearch
40,Achilles-achilles-6.0.0,TestALLEntityAsChild
41,Achilles-achilles-6.0.0,TestEntityWithCompositePartitionKey
42,Achilles-achilles-6.0.0,TestEntityWithIndexOnClustering
43,Achilles-achilles-6.0.0,TestEntityWithStaticCounterColumn
44,Achilles-achilles-6.0.0,TestCRUDSimpleEntity
45,Achilles-achilles-6.0.0,TestEntityWithCustomConstructorAndDeclaredFields
46,Achilles-achilles-6.0.0,TestNativeQueries
47,Achilles-achilles-6.0.0,TestDSLEntityWithClusterings
48,Achilles-achilles-6.0.0,TestAsyncCRUDSimpleEntity
49,Achilles-achilles-6.0.0,TestEntityWithComplexTuple
50,Achilles-achilles-6.0.0,TestEntityWithComplexCounter
51,Achilles-achilles-6.0.0,TestOverridingSchemaNameProvider
52,Achilles-achilles-6.0.0,TestDynamicKeyspaceWithUDT
53,Achilles-achilles-6.0.0,ConsistencyLevelOrderingIT
54,Achilles-achilles-6.0.0,TestEntityWithByteBufferTypeIT
55,Achilles-achilles-6.0.0,NativeCollectionsCodecIT
56,Achilles-achilles-6.0.0,TestEntityHavingUDTWithNoKeyspaceIT
57,Achilles-achilles-6.0.0,TestEntityWithNestedUdtIT
58,Achilles-achilles-6.0.0,TestEntityWithNonExistingKeyspaceIT
59,Achilles-achilles-6.0.0,TestEntityWithCaseSensitivePKIT
60,Achilles-achilles-6.0.0,ValidateSchemaIT
61,Achilles-achilles-6.0.0,TestEntityWithNonExistingTableIT
62,Achilles-achilles-6.0.0,TestNotUsePrimitiveArrayCodecs
63,Achilles-achilles-6.0.0,ClassLevelTracing
64,Achilles-achilles-6.0.0,TestCopyAllOptionsFromRegularStatementForTypedQuery
65,Achilles-achilles-6.0.0,TestDSLUpdateWithTTLAndTimestamp
66,Achilles-achilles-6.0.0,MultiLayerNestingIT
67,Achilles-achilles-6.0.0,PrimitiveAsClusteringColumnIT
68,Achilles-achilles-6.0.0,CassandraLogAsserter
69,Achilles-achilles-6.0.0,TestEntityWithCustomConstructor
70,Achilles-achilles-6.0.0,TestTypedQueries
71,Achilles-achilles-6.0.0,TestDSLSimpleEntity
72,Achilles-achilles-6.0.0,TestEntityWithComplexIndices
73,Achilles-achilles-6.0.0,TestAsyncDSLSimpleEntity
74,Achilles-achilles-6.0.0,TestBeanValidation
75,Achilles-achilles-6.0.0,TestImmutableEntity
76,Achilles-achilles-6.0.0,TestEntityWithComplexTypes
