Nº,Project
1,Achilles-achilles-6.0.0
2,assertj-core-assertj-core-3.11.1
3,commons-collections-collections-4.3-RC2
4,commons-dbcp-commons-dbcp-2.5.0
5,commons-exec-1.3
6,commons-functor-FUNCTOR_1_0_RC1
7,commons-io-commons-io-2.6-RC3
8,commons-jxpath-JXPATH_1_3
9,commons-math-MATH_3_6_1
10,commons-net-NET_3_6
11,commons-validator-VALIDATOR_1_6
12,cors-filter-cors-filter-1.0.1
13,cucumber-reporting-cucumber-reporting-4.3.0
14,dropwizard-1.3.8
15,empire-db-apache-empire-db-2.4.7
16,exp4j-exp4j-0.4.8
17,gs-collections-7.0.3
18,handlebars.java-4.1.2
19,hector-hector-2.0-0
20,httpcomponents-core-4.4.11
21,jimfs-1.1
22,joda-time-2.10.1
23,jsoup-jsoup-1.11.3
24,okhttp-parent-3.12.1
25,raml-java-parser-1.0.29
26,retrofit-parent-2.0.0-beta3
27,terasoluna-gfw-5.4.1.RELEASE
28,undertow-2.0.17.Final
29,zxing-BS-4.7.8
