Nº,Project
1,AndroidUtilCode-1.22.4
2,Arduino-1.8.8
3,MPAndroidChart-3.1.0-alpha
4,MPAndroidChart-3.1.0-alpha
5,RxJava-2.2.4
6,checkstyle-checkstyle-8.15
7,guava-27.0.1
8,hadoop-release-3.2.0-RC0
9,incubator-dubbo-dubbo-2.6.5
10,java-design-patterns-1.20.0
11,kafka-2.1.0
12,libgdx-gdx-parent-1.9.9
13,maven-project-0.4
14,mockito-2.23.11
15,mybatis-3-mybatis-3.4.6
16,netty-netty-4.1.32.Final
17,okhttp-parent-3.12.1
18,retrofit-parent-2.0.0-beta3
19,spring-boot-2.1.1.RELEASE
20,spring-framework-5.1.3.RELEASE
21,zxing-BS-4.7.8
