Nº,Project,#Files,#Tests,#JavaAsserts,#JunitAsserts,#assertArrayEquals,#assertEquals,#assertNotEquals,#assertNotNull,#assertNotSame,#assertNull,#assertSame,#assertTrueGood,#assertFalseGood,#assertTrueBad,#assertFalseBad,#fail,#NeedFix
1,AndroidUtilCode-1.22.4,,217,0,647,0,353,1,30,0,70,0,145,47,0,0,1,21
2,Arduino-1.8.8,,66,0,186,2,134,1,17,0,4,0,16,8,4,0,0,6
3,MPAndroidChart-3.1.0-alpha,,10,0,306,0,293,0,0,0,0,0,9,4,0,0,0,0
4,MPAndroidChart-3.1.0-alpha,,10,0,306,0,293,0,0,0,0,0,9,4,0,0,0,0
5,RxJava-2.2.4,,10602,2,7721,180,2584,26,100,19,347,189,1754,1396,420,253,453,127
6,checkstyle-checkstyle-8.15,,2920,0,2999,195,1634,9,183,5,30,14,0,0,451,196,282,15
7,guava-27.0.1,,14870,2,25664,0,13071,0,98,70,769,1434,3871,2306,295,140,3610,429
8,hadoop-release-3.2.0-RC0,,16013,82,44207,503,24906,190,1793,74,889,179,7279,2247,2399,609,3139,2538
9,incubator-dubbo-dubbo-2.6.5,,1557,0,2677,55,1807,2,56,6,95,34,282,60,34,2,244,86
10,java-design-patterns-1.20.0,,595,3,982,0,506,2,108,3,45,27,193,75,8,2,13,31
11,kafka-2.1.0,,4401,0,8822,96,5136,73,168,33,293,70,1500,893,138,61,361,111
12,libgdx-gdx-parent-1.9.9,,32,1,116,0,43,2,0,0,4,0,38,7,18,1,3,29
13,maven-project-0.4,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,mockito-2.23.11,,2045,0,1875,2,844,0,98,6,48,59,339,91,0,0,388,70
15,mybatis-3-mybatis-3.4.6,,1309,0,2364,7,1583,0,196,3,142,15,247,88,39,1,43,52
16,netty-netty-4.1.32.Final,,3736,0,6844,55,3302,32,268,18,327,159,1505,959,40,23,156,85
17,okhttp-parent-3.12.1,,2140,0,4818,13,3538,3,54,2,217,58,292,246,30,1,364,15
18,retrofit-parent-2.0.0-beta3,,284,0,136,0,0,0,0,0,1,0,13,0,0,0,122,0
19,spring-boot-2.1.1.RELEASE,,8087,0,54,0,4,0,0,0,0,0,3,0,0,0,47,0
20,spring-framework-5.1.3.RELEASE,,15974,1,33439,303,17551,86,1895,148,1278,1768,5247,1874,2025,235,1029,1600
21,zxing-BS-4.7.8,,400,0,663,23,468,4,17,0,17,24,59,35,1,0,15,8
